NDH,SDH,Hes,Smiths
0.13247416943228008,0.05197131486985248,0.522040124086899,0.6173900720996346
0.018108276717104764,0.07456066399036416,0.5461804955136503,0.47567731121977297
0.11836330938964129,0.16495886779806468,0.5334406932699445,0.5220927198039182
0.0885922445656117,0.18771106058056822,0.4509229652167471,0.4745890910940285
0.09003815282341694,0.1407677230036713,0.5142396968636332,0.380219081201872
0.16823024843320375,0.10064314058217297,0.395146519766386,0.32498100960742254
0.22227305422201643,0.1730760670536861,0.3858475402422229,0.2936719094651965
0.256954204113087,0.13424458878636497,0.3244475994618309,0.17590374927511354
0.2606717847879639,0.24967840113989953,0.33766976196628534,0.20558588033243747
0.3062499404681145,0.27968655975267165,0.23166919604613206,0.34806689842439686
0.43020656583996886,0.2764304354458505,0.25578440440574546,0.29420847102030745
0.32135684341782295,0.39108234523000485,0.2419411702213275,0.24807988484713173
0.3678430253123089,0.43760714322935634,0.1499351946575262,0.17351954607170889
0.45718924233069913,0.4370815528773722,0.1244949645794955,0.18839215886243918
0.5053250416788013,0.5002660250193904,0.15802900978059625,0.2147904397823219
0.5010414743851654,0.5594384211764465,0.030420804456842032,0.1250501412973632
0.631771905179456,0.5310164007478038,0.07342849075912,0.15065294196416565
0.569852159685024,0.8037126770790269,0.14197336665904853,0.04591868220792512
0.6495167033592126,0.6962030513896693,0.1336796719052364,0.09341392551360615
0.745907964690162,0.6709969304715435,0.10027343952496112,0.04836397736428775
0.8207040500752643,0.7426844868442479,0.12516741928283792,0.025349975910702142
0.7948849955568269,0.8279757172148066,0.1016089491336811,0.11702581189462785
0.9428318452697705,0.8693908151852863,0.10825693466273585,0
0.889041394115072,0.8462325275101623,0.07012591048074088,0.07978861038868483
0.9253990368912706,0.8961693058174999,0.08352041840585506,0.1101510875380289
1,0.9788496971075923,0.06256066650924798,0.14657601249659888
0.9343410238954027,0.9558528552670872,0.1379277976717004,0.16415190335461985
0.9789368720570626,1,0.08890343347771712,0.08422230013009097
1,0.9127434953537943,0.20050095137640245,0.13526130045247878
0.9773723639956333,1,0.17388089712744553,0.26193850110695777
0.9205507315578612,0.9918340468056714,0.29359071074694837,0.21960630315839946
0.9963011220009317,0.9880622512044552,0.3073167929557736,0.22426544816169308
0.9582358252377455,0.9428037647639419,0.17500708794556372,0.190150578063088
1,1,0.2360949941180458,0.24096275696814645
0.9125700793212678,1,0.32202596790138716,0.30331890273744755
0.9052593819389753,0.9619405154164771,0.29371095483258586,0.2668427926331046
0.8467384905324467,0.9227643678494687,0.3218433882146703,0.2745495055641888
0.8686605326041675,0.8592697408650651,0.4384409865731966,0.283888929128305
0.8456554674167324,0.8715173246878205,0.4100584947274877,0.4558030695050924
0.834601095692212,0.7215974195617076,0.4078265163325554,0.4386005623120859
0.734164149855512,0.7524343347358594,0.5694046849691926,0.45230625883555187
0.7040802792718877,0.7723222565564032,0.6078347349374065,0.5132586707862137
0.7241286776210836,0.7268013011255483,0.5399591994951687,0.507907357771361
0.6991326661763692,0.7301783912231785,0.5796950037941868,0.5786083528440679
0.554706944889151,0.5795832212571403,0.5346859848521623,0.5894991695489957
0.5648998407877976,0.5022090431094904,0.6851891931701493,0.6620569324032587
0.5038828326325991,0.4855509939813249,0.6543804200856668,0.5917290897794708
0.4924281588769225,0.523951653353175,0.7639485591596307,0.6847625881472803
0.43877725120233046,0.4816130144389818,0.7525788995677379,0.7900243814490826
0.4401004365597513,0.29670837098152647,0.7571972065204216,0.7999823663926012
0.29548685354744897,0.3160702442485194,0.7821994493703517,0.8022338533987925
0.320891662502485,0.33786791097594837,0.8047257841117931,0.7915408787158514
0.320155997763921,0.23548487896696563,0.904872222317377,0.9694269293622052
0.2569998891326256,0.24946701025044393,0.8588643863228425,1
0.21212409695027434,0.18822262092044084,0.8592760291739177,0.9837308267655117
0.2268664479857127,0.14212126628473992,0.880283524953625,0.9482250567261102
0.0848285997144699,0.16947725426909663,0.9380979459969491,0.8950087898723855
0.040812963467046146,0.11198181946189265,1,0.9386154771610836
0.14494644558584757,0.10580174710609722,0.9556211387653544,0.9762223339890546
0,0.14220854023306578,1,0.9878009748003188
0.09098573116847898,0.14628194673983486,1,0.9854364842786922
0.03330966736839796,0.10612833695652579,0.9635974356155699,1
0.07259184605995446,0.05061254938230804,1,1
0.2002516332637157,0.15258382683023236,0.9650403796556881,0.9665255175947394
0.14411662539937217,0.1291548802889423,0.971889016749245,1
0.20156751890454644,0.14220072382679813,0.9129393008698106,0.9947005084872066
0.19095217728468766,0.13184675069307544,0.9729882540618128,0.9283128336439503
0.17171379228358225,0.1932267232423399,0.9662051274617269,1
0.3313857521956631,0.20860330806430283,0.9468288019520644,1
0.28087677624793855,0.3288915625978679,0.8623593135075728,1
0.2752034198006061,0.3031422213986196,0.9563714662975183,0.9177163450679388
0.4000099454960886,0.3481951560372384,1,0.9461479683280003
0.37604417549490365,0.428148819719353,0.8416877837639265,0.8711226699909004
0.35661184221420655,0.44974808084659834,0.8662284509411942,0.8885822550191644
0.5394233215668258,0.48177151171812826,0.9396224851163789,0.8365574091334693
0.5812371218045757,0.4792055256487877,0.8530845325528496,0.7293301178357197
0.521566580459883,0.5424692679411485,0.8539877206277688,0.8658396729545093
0.5565429048079154,0.557594357611374,0.692089896964038,0.7898376441811452
0.7123119784062519,0.6476641924950102,0.7115914028424268,0.705198328305367
0.7414067715367919,0.8204097262034555,0.6260041619980191,0.6950659623077445
0.7411332734107916,0.7921330492032094,0.7370342624236064,0.6978224982220212
0.8355840959503378,0.8257055036508615,0.7045019531006452,0.6435685304123574
0.8154739603533145,0.7815547113353534,0.594709607861241,0.621782796647489
0.8765357875930146,0.9574039942719498,0.5244452288863343,0.5713188640817639
0.8552553720618237,1,0.5695178772127716,0.5164856562677833
1,0.901362747995133,0.4888385820025916,0.49055924910265836
0.9054283871509015,0.9212916621958323,0.5248138764914431,0.43531401366082434
0.9117571908073169,0.9721582456800716,0.39482434457008025,0.4645886075722553
0.9753955518006912,1,0.375489721624229,0.46562932875573726
